iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
8623,0.69,0.0001,7.34,8.03
8624,1.59,0.0002,16.87,18.47
8625,2.36,0.0003,24.97,27.33
8626,3.74,0.0004,39.60,43.33
8627,4.50,0.0005,47.65,52.15
8628,5.24,0.0006,55.52,60.76
8629,6.02,0.0007,63.72,69.73
8630,7.36,0.0009,77.89,85.25
8631,8.10,0.0009,85.78,93.88
8632,8.85,0.0010,93.70,102.55
8633,9.60,0.0011,101.60,111.20
8634,10.97,0.0013,116.09,127.06
8635,11.72,0.0014,123.97,135.69
8636,12.48,0.0014,132.01,144.49
8637,13.23,0.0015,139.93,153.15
8638,14.60,0.0017,154.38,168.98
8639,15.36,0.0018,162.40,177.76
8640,16.11,0.0019,170.35,186.46
8641,16.87,0.0020,178.33,195.19
8642,18.24,0.0021,192.82,211.06
8643,18.99,0.0022,200.74,219.74
8644,19.74,0.0023,208.59,228.33
8645,20.53,0.0024,216.92,237.45
8646,21.91,0.0025,231.47,253.37
8647,22.67,0.0026,239.54,262.21
8648,23.44,0.0027,247.65,271.10
8649,24.22,0.0028,255.80,280.02
8650,25.61,0.0030,270.46,296.07
8651,26.42,0.0031,278.97,305.39
8652,27.22,0.0031,287.34,314.56
8653,27.97,0.0032,295.26,323.23
8654,29.33,0.0034,309.64,338.97
8655,30.09,0.0035,317.59,347.69
8656,30.85,0.0036,325.56,356.42
8657,31.65,0.0037,333.99,365.65
8658,33.04,0.0038,348.58,381.63
8659,33.81,0.0039,356.62,390.43
8660,34.57,0.0040,364.58,399.15
8661,35.29,0.0041,372.18,407.47
8662,36.67,0.0042,386.71,423.38
8663,37.42,0.0043,394.54,431.96
8664,38.22,0.0044,402.94,441.16
8665,39.57,0.0046,417.10,456.67
8666,40.33,0.0047,425.06,465.39
8667,41.11,0.0047,433.17,474.28
8668,41.86,0.0048,441.03,482.89
8669,43.24,0.0050,455.56,498.80
8670,44.01,0.0051,463.60,507.61
8671,44.80,0.0052,471.87,516.67
8672,45.56,0.0053,479.78,525.34
8673,46.93,0.0054,494.18,541.11
8674,47.71,0.0055,502.33,550.04
8675,48.49,0.0056,510.42,558.91
8676,49.25,0.0057,518.36,567.60
8677,50.67,0.0058,533.24,583.91
8678,51.52,0.0059,542.21,593.74
8679,52.32,0.0060,550.50,602.81
8680,53.11,0.0061,558.76,611.87
8681,54.49,0.0063,573.15,627.64
8682,55.28,0.0064,581.39,636.66
8683,56.07,0.0065,589.62,645.69
8684,56.83,0.0065,597.59,654.41
8685,58.19,0.0067,611.77,669.96
8686,58.95,0.0068,619.76,678.71
8687,59.69,0.0069,627.48,687.18
8688,60.43,0.0070,635.10,695.52
8689,61.78,0.0071,649.20,710.97
8690,62.51,0.0072,656.87,719.39
8691,63.28,0.0073,664.86,728.14
8692,64.03,0.0074,672.68,736.71
8693,65.40,0.0075,686.98,752.38
8694,66.15,0.0076,694.67,760.82
8695,66.92,0.0077,702.72,769.64
8696,67.65,0.0078,710.34,778.00
8697,69.03,0.0079,724.65,793.67
8698,69.79,0.0080,732.55,802.34
8699,70.55,0.0081,740.44,810.99
8700,71.29,0.0082,748.13,819.42
8701,72.70,0.0084,762.82,835.52
8702,73.48,0.0084,770.97,844.46
8703,74.26,0.0085,779.06,853.32
8704,75.00,0.0086,786.66,861.66
8705,76.41,0.0088,801.37,877.79
8706,77.19,0.0089,809.46,886.66
8707,77.97,0.0090,817.51,895.48
8708,79.32,0.0091,831.61,910.93
8709,80.07,0.0092,839.37,919.44
8710,80.85,0.0093,847.38,928.23
8711,81.61,0.0094,855.29,936.91
8712,82.95,0.0095,869.17,952.12
8713,83.70,0.0096,876.98,960.68
8714,84.49,0.0097,885.09,969.58
8715,85.26,0.0098,893.00,978.26
8716,86.60,0.0099,907.02,993.62
8717,87.37,0.0100,914.91,1002.28
8718,88.11,0.0101,922.58,1010.69
8719,88.87,0.0102,930.45,1019.32
8720,90.25,0.0104,944.76,1035.01
8721,91.03,0.0104,952.77,1043.80
8722,91.78,0.0105,960.51,1052.29
8723,92.52,0.0106,968.16,1060.69
8724,93.91,0.0108,982.51,1076.42
8725,94.67,0.0109,990.38,1085.05
8726,95.42,0.0109,998.08,1093.49
8727,96.17,0.0110,1005.84,1102.01
8728,97.56,0.0112,1020.25,1117.81
8729,98.33,0.0113,1028.18,1126.51
8730,99.08,0.0113,1035.85,1134.93
8731,99.83,0.0114,1043.60,1143.44
8732,101.22,0.0116,1057.93,1159.14
8733,102.01,0.0117,1066.06,1168.07
8734,102.77,0.0118,1073.90,1176.67
8735,103.52,0.0119,1081.63,1185.15
8736,104.88,0.0120,1095.70,1200.59
8737,105.65,0.0121,1103.54,1209.18
8738,106.40,0.0122,1111.26,1217.66
8739,107.15,0.0123,1118.91,1226.06
8740,108.51,0.0124,1133.05,1241.57
8741,109.26,0.0125,1140.74,1250.01
8742,110.03,0.0126,1148.64,1258.67
8743,110.76,0.0127,1156.10,1266.86
8744,112.17,0.0128,1170.60,1282.77
8745,112.93,0.0129,1178.45,1291.38
8746,113.70,0.0130,1186.31,1300.01
8747,115.04,0.0132,1200.12,1315.15
8748,115.95,0.0133,1209.51,1325.46
8749,116.70,0.0133,1217.20,1333.90
8750,117.46,0.0134,1224.99,1342.46
8751,118.84,0.0136,1239.13,1357.97
8752,119.59,0.0137,1246.84,1366.43
8753,120.36,0.0138,1254.74,1375.10
8754,121.14,0.0138,1262.71,1383.85
8755,122.47,0.0140,1276.41,1398.89
8756,123.24,0.0141,1284.22,1407.46
8757,124.01,0.0142,1292.09,1416.10
8758,124.77,0.0142,1299.90,1424.67
8759,126.18,0.0144,1314.41,1440.59
8760,126.94,0.0145,1322.12,1449.06
8761,127.71,0.0146,1330.00,1457.71
8762,128.46,0.0147,1337.60,1466.05
8763,129.84,0.0148,1351.81,1481.65
8764,130.61,0.0149,1359.66,1490.27
8765,131.42,0.0150,1367.93,1499.35
8766,132.18,0.0151,1375.71,1507.89
8767,133.57,0.0152,1389.96,1523.53
8768,134.35,0.0153,1397.88,1532.23
8769,135.10,0.0154,1405.52,1540.62
8770,135.86,0.0155,1413.31,1549.17
8771,137.25,0.0156,1427.54,1564.79
8772,138.00,0.0157,1435.23,1573.24
8773,138.77,0.0158,1443.03,1581.81
8774,139.55,0.0159,1450.92,1590.47
8775,140.92,0.0161,1465.04,1605.96
8776,141.70,0.0161,1472.95,1614.65
8777,142.47,0.0162,1480.77,1623.24
8778,143.22,0.0163,1488.33,1631.54
8779,144.58,0.0165,1502.34,1646.93
8780,145.34,0.0166,1510.03,1655.37
8781,146.13,0.0166,1518.05,1664.18
8782,146.89,0.0167,1525.76,1672.65
8783,148.28,0.0169,1540.00,1688.28
8784,149.03,0.0170,1547.54,1696.57
8785,149.77,0.0170,1555.10,1704.87
8786,150.52,0.0171,1562.64,1713.16
8787,151.90,0.0173,1576.76,1728.66
8788,152.63,0.0174,1584.19,1736.82
8789,153.40,0.0175,1592.01,1745.41
8790,154.79,0.0176,1606.23,1761.03
8791,155.55,0.0177,1613.92,1769.47
8792,156.32,0.0178,1621.64,1777.96
8793,157.07,0.0179,1629.25,1786.32
8794,158.46,0.0180,1643.43,1801.89
8795,159.20,0.0181,1650.88,1810.08
8796,159.97,0.0182,1658.68,1818.65
8797,160.73,0.0183,1666.39,1827.12
8798,162.07,0.0184,1680.10,1842.17
8799,162.84,0.0185,1687.78,1850.62
8800,163.60,0.0186,1695.50,1859.10
8801,164.41,0.0187,1703.64,1868.05
8802,165.79,0.0188,1717.80,1883.59
8803,166.56,0.0189,1725.48,1892.03
8804,167.31,0.0190,1733.05,1900.36
8805,168.05,0.0191,1740.56,1908.62
8806,169.42,0.0192,1754.45,1923.86
8807,170.18,0.0193,1762.10,1932.28
8808,170.94,0.0194,1769.79,1940.73
8809,171.69,0.0195,1777.31,1948.99
8810,173.03,0.0196,1790.99,1964.02
8811,173.79,0.0197,1798.66,1972.45
8812,174.56,0.0198,1806.38,1980.94
8813,175.33,0.0199,1814.07,1989.40
8814,176.69,0.0200,1827.95,2004.64
8815,177.46,0.0201,1835.73,2013.19
8816,178.24,0.0202,1843.50,2021.74
8817,178.98,0.0203,1850.96,2029.94
8818,180.36,0.0205,1865.00,2045.36
8819,181.14,0.0205,1872.84,2053.98
8820,181.90,0.0206,1880.50,2062.41
8821,182.64,0.0207,1887.84,2070.48
8822,184.03,0.0209,1901.98,2086.00
8823,184.79,0.0209,1909.67,2094.46
8824,185.53,0.0210,1917.06,2102.59
8825,186.26,0.0211,1924.33,2110.59
8826,187.65,0.0213,1938.46,2126.12
8827,188.43,0.0213,1946.25,2134.68
8828,189.21,0.0214,1954.08,2143.29
8829,189.94,0.0215,1961.40,2151.34
8830,191.34,0.0217,1975.59,2166.93
8831,192.12,0.0218,1983.40,2175.52
8832,192.88,0.0218,1990.99,2183.87
8833,194.25,0.0220,2004.93,2199.18
8834,195.02,0.0221,2012.54,2207.56
8835,195.78,0.0222,2020.13,2215.91
8836,196.55,0.0222,2027.91,2224.47
8837,197.92,0.0224,2041.71,2239.63
8838,198.67,0.0225,2049.23,2247.90
8839,199.43,0.0226,2056.83,2256.26
8840,200.20,0.0226,2064.51,2264.71
8841,201.55,0.0228,2078.16,2279.71
8842,202.30,0.0229,2085.64,2287.94
8843,203.05,0.0230,2093.07,2296.11
8844,203.80,0.0230,2100.61,2304.41
8845,205.16,0.0232,2114.30,2319.45
8846,205.92,0.0233,2121.95,2327.88
8847,206.70,0.0234,2129.67,2336.37
8848,207.45,0.0234,2137.10,2344.55
8849,208.81,0.0236,2150.94,2359.76
