iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
78076,0.70,0.0000,0.02,0.72
78077,1.60,0.0000,0.04,1.64
78078,2.36,0.0000,0.06,2.41
78079,3.75,0.0000,0.09,3.84
78080,4.50,0.0001,0.11,4.61
78081,5.26,0.0001,0.13,5.38
78082,6.00,0.0001,0.15,6.15
78083,7.39,0.0001,0.18,7.58
78084,8.13,0.0001,0.20,8.33
78085,8.90,0.0001,0.22,9.12
78086,9.65,0.0001,0.24,9.89
78087,11.00,0.0001,0.27,11.26
78088,11.76,0.0002,0.29,12.05
78089,12.53,0.0002,0.31,12.84
78090,13.26,0.0002,0.32,13.59
78091,14.60,0.0002,0.36,14.96
78092,15.35,0.0002,0.38,15.73
78093,16.11,0.0002,0.39,16.51
78094,16.87,0.0002,0.41,17.28
78095,18.24,0.0002,0.44,18.69
78096,19.01,0.0002,0.46,19.47
78097,19.76,0.0003,0.48,20.24
78098,20.48,0.0003,0.50,20.98
78099,21.83,0.0003,0.53,22.37
78100,22.59,0.0003,0.55,23.13
78101,23.34,0.0003,0.57,23.91
78102,24.08,0.0003,0.59,24.67
78103,25.46,0.0003,0.62,26.08
78104,26.24,0.0003,0.64,26.88
78105,27.00,0.0003,0.65,27.65
78106,27.72,0.0004,0.67,28.40
78107,29.13,0.0004,0.71,29.83
78108,29.88,0.0004,0.72,30.60
78109,30.63,0.0004,0.74,31.37
78110,31.39,0.0004,0.76,32.14
78111,32.78,0.0004,0.79,33.57
78112,33.53,0.0004,0.81,34.34
78113,34.27,0.0004,0.83,35.09
78114,35.00,0.0004,0.84,35.84
78115,36.38,0.0005,0.88,37.26
78116,37.15,0.0005,0.90,38.04
78117,37.89,0.0005,0.91,38.80
78118,39.25,0.0005,0.95,40.19
78119,40.02,0.0005,0.96,40.98
78120,40.78,0.0005,0.98,41.76
78121,41.56,0.0005,1.00,42.56
78122,42.93,0.0005,1.03,43.97
78123,43.70,0.0006,1.05,44.75
78124,44.45,0.0006,1.07,45.52
78125,45.20,0.0006,1.08,46.29
78126,46.56,0.0006,1.12,47.67
78127,47.30,0.0006,1.13,48.44
78128,48.06,0.0006,1.15,49.21
78129,48.82,0.0006,1.17,49.99
78130,50.19,0.0006,1.20,51.39
78131,50.97,0.0007,1.22,52.19
78132,51.74,0.0007,1.24,52.98
78133,52.48,0.0007,1.25,53.73
78134,53.84,0.0007,1.29,55.12
78135,54.61,0.0007,1.30,55.91
78136,55.38,0.0007,1.32,56.70
78137,56.16,0.0007,1.34,57.50
78138,57.54,0.0007,1.37,58.91
78139,58.29,0.0007,1.39,59.68
78140,59.05,0.0008,1.41,60.45
78141,59.78,0.0008,1.42,61.20
78142,61.15,0.0008,1.45,62.61
78143,61.90,0.0008,1.47,63.37
78144,62.68,0.0008,1.49,64.17
78145,63.43,0.0008,1.51,64.93
78146,64.80,0.0008,1.54,66.33
78147,65.57,0.0008,1.55,67.13
78148,66.36,0.0008,1.57,67.93
78149,67.11,0.0009,1.59,68.69
78150,68.50,0.0009,1.62,70.12
78151,69.24,0.0009,1.64,70.88
78152,70.00,0.0009,1.66,71.65
78153,70.72,0.0009,1.67,72.39
78154,72.11,0.0009,1.70,73.81
78155,72.88,0.0009,1.72,74.61
