iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
5185,0.69,0.0001,12.67,13.37
5186,1.59,0.0003,29.10,30.70
5187,2.34,0.0005,42.84,45.19
5188,3.68,0.0007,67.33,71.02
5189,4.40,0.0008,80.46,84.87
5190,5.13,0.0010,93.68,98.80
5191,5.88,0.0011,107.47,113.36
5192,7.21,0.0014,131.65,138.86
5193,7.95,0.0015,145.09,153.03
5194,8.68,0.0017,158.44,167.12
5195,9.41,0.0018,171.71,181.12
5196,10.76,0.0021,196.37,207.13
5197,11.50,0.0022,209.77,221.27
5198,12.26,0.0024,223.59,235.85
5199,13.00,0.0025,237.09,250.10
5200,14.38,0.0028,262.20,276.58
5201,15.11,0.0029,275.44,290.55
5202,15.85,0.0030,288.90,304.75
5203,16.63,0.0032,303.06,319.69
5204,18.11,0.0035,329.92,348.03
5205,18.89,0.0036,343.96,362.84
5206,19.62,0.0038,357.29,376.91
5207,20.35,0.0039,370.38,390.72
5208,21.68,0.0042,394.67,416.35
5209,22.44,0.0043,408.27,430.70
5210,23.17,0.0044,421.62,444.79
5211,23.90,0.0046,434.73,458.63
5212,25.25,0.0048,459.15,484.40
5213,26.01,0.0050,472.85,498.85
5214,26.76,0.0051,486.43,513.19
5215,27.47,0.0053,499.36,526.84
5216,28.86,0.0055,524.50,553.37
5217,29.58,0.0057,537.33,566.91
5218,30.30,0.0058,550.47,580.77
5219,31.02,0.0059,563.29,594.30
5220,32.35,0.0062,587.35,619.70
5221,33.09,0.0063,600.77,633.87
5222,33.84,0.0065,614.12,647.96
5223,34.53,0.0066,626.56,661.09
5224,35.91,0.0069,651.47,687.38
5225,36.67,0.0070,665.12,701.78
5226,37.42,0.0072,678.67,716.09
5227,38.76,0.0074,702.73,741.49
5228,39.49,0.0076,715.85,755.34
5229,40.45,0.0077,733.09,773.53
5230,41.29,0.0079,748.25,789.54
5231,42.67,0.0082,773.10,815.77
5232,43.58,0.0083,789.29,832.87
5233,44.40,0.0085,804.02,848.42
5234,45.21,0.0086,818.62,863.84
5235,46.66,0.0089,844.61,891.26
5236,47.45,0.0091,858.78,906.23
5237,48.23,0.0092,872.64,920.87
5238,48.97,0.0093,885.89,934.86
5239,50.34,0.0096,910.56,960.91
5240,51.08,0.0097,923.71,974.79
5241,51.84,0.0099,937.24,989.08
5242,52.56,0.0100,950.19,1002.75
5243,53.92,0.0103,974.57,1028.49
5244,54.66,0.0104,987.63,1042.29
5245,55.40,0.0106,1000.80,1056.20
